Date,Open,High,Low,Close,Volume,Stock
2024-03-27,692.8215385852401,704.6966236214441,691.7021375713913,701.1681518554688,62168668,HDFCBANK
2024-03-28,701.1681292352769,710.8045307526719,701.1681292352769,704.6723022460938,55592142,HDFCBANK
2024-04-01,709.5878149173326,717.2774734382766,708.4197572494843,715.67138671875,25199570,HDFCBANK
2024-04-02,713.0676337207477,727.5221766350272,712.1429189199621,720.367919921875,41225446,HDFCBANK
2024-04-03,716.450076374618,727.9115494819865,716.109420115624,721.414306640625,45584386,HDFCBANK
2024-04-04,731.9754091764817,744.6292393883092,731.9754091764817,743.461181640625,88935066,HDFCBANK
2024-04-05,749.0093625181328,756.5529915753328,744.7022055513205,754.1439208984375,59055902,HDFCBANK
2024-04-08,756.7720051664586,757.8914061879058,750.2504634550537,752.7081909179688,20482940,HDFCBANK
2024-04-09,756.7233110790663,756.7233110790663,749.6420692068525,753.6572265625,21884494,HDFCBANK
2024-04-10,754.3142198543229,754.3142198543229,746.0648611390807,747.7196044921875,27807400,HDFCBANK
2024-04-12,740.2490112702176,744.5561681914903,736.5745101656407,739.2512817382812,41084208,HDFCBANK
2024-04-15,728.8361984614614,734.8954117012732,726.1594270943376,727.4490966796875,23415248,HDFCBANK
2024-04-16,723.7017589124875,736.3069325670494,721.3900014445425,734.530517578125,20744886,HDFCBANK
2024-04-18,734.7980983246009,739.2025682918519,725.6727413912242,727.4490966796875,34234884,HDFCBANK
2024-04-19,723.4827148610226,747.0382572891224,720.4165709168466,745.2619018554688,34576434,HDFCBANK
2024-04-22,757.9643557818745,757.9643557818745,734.0680986992392,735.9661254882812,42298438,HDFCBANK
2024-04-23,742.8284760660457,742.9257894510552,731.6103458842442,733.7274169921875,26827060,HDFCBANK
2024-04-24,737.3288649584306,740.613993564681,734.4331086916868,735.7227783203125,22441580,HDFCBANK
2024-04-25,733.0704121681982,739.616311752735,733.0704121681982,735.260498046875,35445204,HDFCBANK
2024-04-26,739.6650141563123,743.6558134751455,732.729742335618,734.7981567382812,24854694,HDFCBANK
2024-04-29,737.3289207914913,746.7949349875348,733.216449914726,744.3858642578125,36093350,HDFCBANK
2024-04-30,744.2397410284531,749.2526274508922,737.2801712358929,739.8109130859375,52307382,HDFCBANK
2024-05-02,740.7356535814621,748.0359392606487,739.9326102747762,745.7241821289062,33475006,HDFCBANK
2024-05-03,746.2108374978702,749.7879654532404,733.532651453262,739.5675659179688,31865242,HDFCBANK
2024-05-06,740.7357053714223,746.819277196089,738.3752913854279,741.0520629882812,28793396,HDFCBANK
2024-05-07,740.7113274497933,741.7334150168236,732.0483570497901,733.021728515625,28480602,HDFCBANK
2024-05-08,728.0574791574124,728.5441648774708,720.465193806477,721.5845947265625,41687862,HDFCBANK
2024-05-09,717.83709973452,723.5800151607533,703.4069152466064,704.4776000976562,46281278,HDFCBANK
2024-05-10,709.9042250216206,716.2928456267198,703.8856031439476,709.361572265625,27276608,HDFCBANK
2024-05-13,706.4509373389452,720.1655815796556,705.6122976051453,717.9208984375,27047202,HDFCBANK
2024-05-14,716.4408878596623,722.9775322143812,715.4789152317669,720.7328491210938,25665142,HDFCBANK
2024-05-15,720.116199874965,720.116199874965,708.3256213801538,709.6575927734375,38931996,HDFCBANK
2024-05-16,713.3822271543565,721.5221990437014,708.1775543730138,720.3875122070312,34945236,HDFCBANK
2024-05-17,713.4562165510583,724.210870736283,713.4562165510583,722.286865234375,20920190,HDFCBANK
2024-05-21,715.3801590157026,725.0494465734148,715.3801590157026,719.6721801757812,43769978,HDFCBANK
2024-05-22,719.203521164468,723.0268413842214,714.4182283327197,719.8695068359375,39996278,HDFCBANK
2024-05-23,719.5982164877166,737.8514873644924,718.808897899437,736.3468017578125,40861920,HDFCBANK
2024-05-24,733.8308615274302,749.814819731989,733.0908640200075,748.4827880859375,31060206,HDFCBANK
2024-05-27,751.5168000055969,762.1974428837648,749.3955099218479,753.6627807617188,29385440,HDFCBANK
2024-05-28,754.846722684579,757.7820820455768,752.2321011517142,755.0440673828125,27908904,HDFCBANK
2024-05-29,748.8774560751649,751.763434227272,740.6141508121484,744.0921630859375,35147706,HDFCBANK
2024-05-30,739.6027730570852,751.6400771573121,738.8381451452329,747.3234252929688,33755350,HDFCBANK
2024-05-31,749.370736784836,757.7573743920395,746.9040786650703,755.5620727539062,74079588,HDFCBANK
2024-06-03,788.8372786068238,788.8372786068238,764.6640286682782,775.615966796875,72637256,HDFCBANK
2024-06-04,768.1174071283333,769.1040704644005,717.3042453208712,731.6848754882812,89531240,HDFCBANK
2024-06-05,737.062160780223,769.4000136473305,731.2901444599279,765.5520629882812,81631650,HDFCBANK
2024-06-06,772.0147015010076,772.2859977724349,762.9867083301413,769.4493408203125,46422870,HDFCBANK
2024-06-07,770.115345809898,781.6099363682906,765.675361251112,776.1832885742188,36712216,HDFCBANK
2024-06-10,776.5040577255814,779.784725413951,768.4134061980604,770.23876953125,22454058,HDFCBANK
2024-06-11,767.6240504407497,775.0240252200629,765.7493660748642,771.9653930664062,29545326,HDFCBANK
2024-06-12,776.9973227739393,783.5586575880445,772.7546827700062,776.5780029296875,39280436,HDFCBANK
2024-06-13,780.3273770852536,782.2760131134276,776.5040566032491,779.8340454101562,24120192,HDFCBANK
2024-06-14,781.4373401835603,788.8373149959045,778.329326673916,787.8013305664062,25540554,HDFCBANK
2024-06-18,787.8012622589033,794.5105601294592,784.1259056214269,793.1785888671875,32415714,HDFCBANK
2024-06-19,795.941305047812,823.8145435842582,791.3039754417663,817.869873046875,90131196,HDFCBANK
2024-06-20,823.7651872236406,829.5124525875813,814.983860042712,823.5431518554688,41408742,HDFCBANK
2024-06-21,825.2698546527171,825.2698546527171,810.6179284522095,821.7672119140625,51630776,HDFCBANK
2024-06-24,812.5172157896385,826.3798229097616,811.9005512360641,825.0478515625,28544994,HDFCBANK
2024-06-25,824.4065232844747,847.025767804676,824.4065232844747,844.2631225585938,74521548,HDFCBANK
2024-06-26,842.5857736709851,844.041138181783,834.2731473521208,839.40380859375,47596666,HDFCBANK
2024-06-27,836.7397746618053,845.0770913433391,832.0531241260426,836.7644653320312,55074650,HDFCBANK
2024-06-28,837.4798157900913,841.9198007397313,828.3038589383985,830.671875,26476046,HDFCBANK
2024-07-01,828.7971320491276,842.2651095333842,828.7971320491276,841.2290649414062,21187024,HDFCBANK
2024-07-02,846.0637432263002,855.8810546817267,840.0204307746837,853.7597045898438,45921690,HDFCBANK
2024-07-03,883.5569558267186,885.0369507276009,870.5576793248654,872.531005859375,123217802,HDFCBANK
2024-07-04,868.1404005851939,868.1404005851939,850.9231133709549,852.0578002929688,45848658,HDFCBANK
2024-07-05,831.2638253093144,831.2638253093144,810.1492067263514,813.0598754882812,82242548,HDFCBANK
2024-07-08,811.678583484828,816.4391857049037,802.7246020410699,806.7698974609375,39087800,HDFCBANK
2024-07-09,801.6639054458949,812.3691778178521,799.369901303005,807.3372192382812,48550878,HDFCBANK
2024-07-10,804.1058576798249,809.063864597064,799.5672308205436,802.20654296875,45507182,HDFCBANK
2024-07-11,801.1459373403621,802.0832795528332,789.8239996598078,800.1346435546875,44177074,HDFCBANK
2024-07-12,800.1839277769812,808.2745787950348,794.8312914757237,800.5292358398438,56049960,HDFCBANK
2024-07-15,800.9239527377698,804.031966294815,796.8292758573642,800.2332763671875,33375694,HDFCBANK
2024-07-16,799.5672452078501,802.6505679180453,797.6186093434653,799.0739135742188,28950324,HDFCBANK
2024-07-18,793.2773395385489,801.1459557272271,788.9113662252444,796.6320190429688,33717064,HDFCBANK
2024-07-19,797.2239068544229,800.677228233124,791.0572615353138,792.9319458007812,26002152,HDFCBANK
2024-07-22,797.7172520784763,814.4905276323838,795.5712715150735,810.3218994140625,53744822,HDFCBANK
2024-07-23,812.7885887086006,812.9119216218081,791.7973027922226,798.407958984375,52002152,HDFCBANK
2024-07-24,793.3513220807449,799.6906218755655,783.4353677463822,791.3286743164062,61728206,HDFCBANK
2024-07-25,785.8772830890329,801.6638951787058,785.8772830890329,797.5198974609375,25535732,HDFCBANK
2024-07-26,791.7972838101718,800.0605887969758,787.5792741911353,798.2846069335938,43810540,HDFCBANK
2024-07-29,796.7306475152811,805.0432741154053,788.4920327099303,791.822021484375,51001148,HDFCBANK
2024-07-30,790.317345854264,806.4739582617092,788.8373508245744,797.0020141601562,54595834,HDFCBANK
2024-07-31,796.2373165488889,803.0946388161857,793.8693004409521,797.1006469726562,37820484,HDFCBANK
2024-08-01,800.627938629233,814.0219048337823,798.1859108540549,808.471923828125,26215174,HDFCBANK
2024-08-02,804.6239322848401,824.1105327295066,804.6239322848401,818.51123046875,44119238,HDFCBANK
2024-08-05,809.1132611105608,812.0239300120638,789.824004829474,797.1006469726562,41333634,HDFCBANK
