Date,Stock,Open,High,Low,Close,Volume
2024-03-27,HDFCBANK,692.8215385852401,704.6966236214441,691.7021375713913,701.1681518554688,62168668
2024-03-28,HDFCBANK,701.1681292352769,710.8045307526719,701.1681292352769,704.6723022460938,55592142
2024-04-01,HDFCBANK,709.5878149173326,717.2774734382766,708.4197572494843,715.67138671875,25199570
2024-04-02,HDFCBANK,713.0676337207477,727.5221766350272,712.1429189199621,720.367919921875,41225446
2024-04-03,HDFCBANK,716.450076374618,727.9115494819865,716.109420115624,721.414306640625,45584386
2024-04-04,HDFCBANK,731.9754091764817,744.6292393883092,731.9754091764817,743.461181640625,88935066
2024-04-05,HDFCBANK,749.0093625181328,756.5529915753328,744.7022055513205,754.1439208984375,59055902
2024-04-08,HDFCBANK,756.7720051664586,757.8914061879058,750.2504634550537,752.7081909179688,20482940
2024-04-09,HDFCBANK,756.7233110790663,756.7233110790663,749.6420692068525,753.6572265625,21884494
2024-04-10,HDFCBANK,754.3142198543229,754.3142198543229,746.0648611390807,747.7196044921875,27807400
2024-04-12,HDFCBANK,740.2490112702176,744.5561681914903,736.5745101656407,739.2512817382812,41084208
2024-04-15,HDFCBANK,728.8361984614614,734.8954117012732,726.1594270943376,727.4490966796875,23415248
2024-04-16,HDFCBANK,723.7017589124875,736.3069325670494,721.3900014445425,734.530517578125,20744886
2024-04-18,HDFCBANK,734.7980983246009,739.2025682918519,725.6727413912242,727.4490966796875,34234884
2024-04-19,HDFCBANK,723.4827148610226,747.0382572891224,720.4165709168466,745.2619018554688,34576434
2024-04-22,HDFCBANK,757.9643557818745,757.9643557818745,734.0680986992392,735.9661254882812,42298438
2024-04-23,HDFCBANK,742.8284760660457,742.9257894510552,731.6103458842442,733.7274169921875,26827060
2024-04-24,HDFCBANK,737.3288649584306,740.613993564681,734.4331086916868,735.7227783203125,22441580
2024-04-25,HDFCBANK,733.0704121681982,739.616311752735,733.0704121681982,735.260498046875,35445204
2024-04-26,HDFCBANK,739.6650141563123,743.6558134751455,732.729742335618,734.7981567382812,24854694
2024-04-29,HDFCBANK,737.3289207914913,746.7949349875348,733.216449914726,744.3858642578125,36093350
2024-04-30,HDFCBANK,744.2397410284531,749.2526274508922,737.2801712358929,739.8109130859375,52307382
2024-05-02,HDFCBANK,740.7356535814621,748.0359392606487,739.9326102747762,745.7241821289062,33475006
2024-05-03,HDFCBANK,746.2108374978702,749.7879654532404,733.532651453262,739.5675659179688,31865242
2024-05-06,HDFCBANK,740.7357053714223,746.819277196089,738.3752913854279,741.0520629882812,28793396
2024-05-07,HDFCBANK,740.7113274497933,741.7334150168236,732.0483570497901,733.021728515625,28480602
2024-05-08,HDFCBANK,728.0574791574124,728.5441648774708,720.465193806477,721.5845947265625,41687862
2024-05-09,HDFCBANK,717.83709973452,723.5800151607533,703.4069152466064,704.4776000976562,46281278
2024-05-10,HDFCBANK,709.9042250216206,716.2928456267198,703.8856031439476,709.361572265625,27276608
2024-05-13,HDFCBANK,706.4509373389452,720.1655815796556,705.6122976051453,717.9208984375,27047202
2024-05-14,HDFCBANK,716.4408878596623,722.9775322143812,715.4789152317669,720.7328491210938,25665142
2024-05-15,HDFCBANK,720.116199874965,720.116199874965,708.3256213801538,709.6575927734375,38931996
2024-05-16,HDFCBANK,713.3822271543565,721.5221990437014,708.1775543730138,720.3875122070312,34945236
2024-05-17,HDFCBANK,713.4562165510583,724.210870736283,713.4562165510583,722.286865234375,20920190
2024-05-21,HDFCBANK,715.3801590157026,725.0494465734148,715.3801590157026,719.6721801757812,43769978
2024-05-22,HDFCBANK,719.203521164468,723.0268413842214,714.4182283327197,719.8695068359375,39996278
2024-05-23,HDFCBANK,719.5982164877166,737.8514873644924,718.808897899437,736.3468017578125,40861920
2024-05-24,HDFCBANK,733.8308615274302,749.814819731989,733.0908640200075,748.4827880859375,31060206
2024-05-27,HDFCBANK,751.5168000055969,762.1974428837648,749.3955099218479,753.6627807617188,29385440
2024-05-28,HDFCBANK,754.846722684579,757.7820820455768,752.2321011517142,755.0440673828125,27908904
2024-05-29,HDFCBANK,748.8774560751649,751.763434227272,740.6141508121484,744.0921630859375,35147706
2024-05-30,HDFCBANK,739.6027730570852,751.6400771573121,738.8381451452329,747.3234252929688,33755350
2024-05-31,HDFCBANK,749.370736784836,757.7573743920395,746.9040786650703,755.5620727539062,74079588
2024-06-03,HDFCBANK,788.8372786068238,788.8372786068238,764.6640286682782,775.615966796875,72637256
2024-06-04,HDFCBANK,768.1174071283333,769.1040704644005,717.3042453208712,731.6848754882812,89531240
2024-06-05,HDFCBANK,737.062160780223,769.4000136473305,731.2901444599279,765.5520629882812,81631650
2024-06-06,HDFCBANK,772.0147015010076,772.2859977724349,762.9867083301413,769.4493408203125,46422870
2024-06-07,HDFCBANK,770.115345809898,781.6099363682906,765.675361251112,776.1832885742188,36712216
2024-06-10,HDFCBANK,776.5040577255814,779.784725413951,768.4134061980604,770.23876953125,22454058
2024-06-11,HDFCBANK,767.6240504407497,775.0240252200629,765.7493660748642,771.9653930664062,29545326
2024-06-12,HDFCBANK,776.9973227739393,783.5586575880445,772.7546827700062,776.5780029296875,39280436
2024-06-13,HDFCBANK,780.3273770852536,782.2760131134276,776.5040566032491,779.8340454101562,24120192
2024-06-14,HDFCBANK,781.4373401835603,788.8373149959045,778.329326673916,787.8013305664062,25540554
2024-06-18,HDFCBANK,787.8012622589033,794.5105601294592,784.1259056214269,793.1785888671875,32415714
2024-06-19,HDFCBANK,795.941305047812,823.8145435842582,791.3039754417663,817.869873046875,90131196
2024-06-20,HDFCBANK,823.7651872236406,829.5124525875813,814.983860042712,823.5431518554688,41408742
2024-06-21,HDFCBANK,825.2698546527171,825.2698546527171,810.6179284522095,821.7672119140625,51630776
2024-06-24,HDFCBANK,812.5172157896385,826.3798229097616,811.9005512360641,825.0478515625,28544994
2024-06-25,HDFCBANK,824.4065232844747,847.025767804676,824.4065232844747,844.2631225585938,74521548
2024-06-26,HDFCBANK,842.5857736709851,844.041138181783,834.2731473521208,839.40380859375,47596666
2024-06-27,HDFCBANK,836.7397746618053,845.0770913433391,832.0531241260426,836.7644653320312,55074650
2024-06-28,HDFCBANK,837.4798157900913,841.9198007397313,828.3038589383985,830.671875,26476046
2024-07-01,HDFCBANK,828.7971320491276,842.2651095333842,828.7971320491276,841.2290649414062,21187024
